0,1,2,3,4
,(c)  Tourist Night:,,(e),Air Traffic Statistics:
,,A night spent in Sri Lanka by a tourist in,,Quarterly returns  obtained  by the  Sri
,,any type of immobile accommodation.,,Lanka  Tourism  Development  Authority
,,,,"from the scheduled airlines,  which"
,(d)   Guest  Night :,,,operate flights to Sri Lanka.
,,"A night spent in a Tourist  Hotel,",,
,,Rest-House  or  Guest-House approved,(F),Statistics on official Tourist receipts:
,,by    the  Sri  Lanka Tourism  Development,,Monthly returns  on foreign  exchange
,,"Authority, as being suitable for occupation",,purchases and acceptance obtained
,,by foreign visitors.,,from the  authorized  dealers  and the
,,,,commercial banks.
,,(e)   Tourist Hotels (Graded Establishments):,,
,,"All  Tourist  Hotels,  which  are  reckoned",(g),Employment statistics:
,,to  be  up to international  standards  of,,Annual surveys conducted by the Sri Lanka
,,operation.,,Tourism  Development  Authority    among
,,,,all registered Tourist establishments;
,(f),Supplementary accommodation:,,viz. Accommodation and Catering
,,"All Guest-House, Rest-House, Inns, Youth",,Establishments. Travel and Transport
,,Hostels etc. which are approved by the Sri,,"Agencies, Recreational  Clubs, Tourist"
,,Lanka Tourism Development Authority as,,"Shops,  Airlines and  National  Tourist"
,,being  suitable  for  occupation  by  foreign,,"Organizations,"
,,visitors.,,
,,,(h),Statistics of Tourist prices:
,(g)  Official Receipts:,,,Price  data  collected from  a  sample  of
,,Official  Receipts  constitute the foreign,,tourist establishments.
,,exchange  purchases  and  acceptances  by,,
,,authorized dealers and commercial banks,,
,,from foreign  visitors  either  directly  or,,
,,indirectly,,
,2.   SOURCES OF INFORMATION,,,
,(a),Tourist Statistics:,,
,,Embarkation  and  Disembarkation  cards,,
,,filled by the foreign visitors.,,
,(b )  Excursionist Statistics:,,,
,,Passenger arrival reports compiled by the,,
,,immigration Department.,,
,(c),Accommodation Statistics:,,
,,Monthly reports  obtained  by the Sri,,
,,Lanka  Tourism  Development  Authority,,
,,from the registered accommodation,,
,,establishments.,,
,(d),Passenger Statistics:,,
,,Passenger  arrival  and  departure  reports,,
,,compiled by the Immigration department.,,
,Sri Lanka Tourism Development Authority,,,
64,,,,
,Statistical Report 2011,,,
