0,1
1.   INTRODUCTION,7
1.1 Definitions,8
1.2 Sources of Information,10
1.3 Global Tourism,11
"1.4 Tourism Demand – Volume and value, Sri Lanka",13
2.  TOURIST TRAFFIC,17
2.1 Markets,18
2.2 Seasonality of Arrivals,20
2.3 Modes of Transport and Ports of Arrivals,21
2.4 Purpose of Visit,22
2.5 Duration of Stay,23
2.6 Age & Sex,24
2.7 Arrivals by Carrier,26
2.8 Passenger Movement,27
2.9 Scheduled Airline Operations,27
3.  ACCOMADATION SECTOR,28
3.1 Accommodation Capacity,29
3.2 Occupancy Rates,30
3.3 Guest Nights,31
4. EMPLOYMENT,33
4.1 Employment,34
5.  PUBLIC SECTOR REVENUE,35
5.1 Public Sector Revenue,36
6.  FOREIGN TRAVEL BY SRI LANKANS,37
6.1 Foreign Travel by Sri Lankans,38
7.  STATISTICAL APENDIX,40
