0,1,2,3,4,5,6,7,8,9,10,11,12
Gampaha,12,,,,,North central,,North western,,Sabaragamuwa,,
Matale,10,,western,central,southern,,Eastern,,Northern,,UVA,Total
Nuwara Eliya,10,,,,,,,,,,,
Hambanthota,7,Star Category,,,,,,,,,,
,,Five,13,6,9,1,1,0,0,0,0,30
Anuradhapura,7,,,,,,,,,,,
,,Four,9,9,5,2,2,1,0,1,1,30
Trincomalee,4,,,,,,,,,,,
,,Three,10,7,3,2,1,1,2,0,0,26
Puttalam,4,,,,,,,,,,,
,,Two,15,8,9,2,2,3,1,1,0,41
Rathnapura,4,,,,,,,,,,,
,,One,22,6,5,3,0,1,1,2,1,41
Matara,3,,,,,,,,,,,
,,Total,69,36,31,10,6,6,4,4,2,168
Polonnaruwa,3,,,,,,,,,,,
