0,1,2,3,4
,,Details of Museums - 2016,,
,Foreign Tickets,,,Local Tickets
Museums,,,,
,No. of Foreign,Revenue,No. of Domestic,Revenue
,Tourists,(in Rs.),Tourists,(in Rs)
Colombo National Museum,"46,643","27,419,700","166,092","3,216,990"
Natural History Museum,"5,303","3,061,800","64,887","940,245"
Kandy National Museum,0,o,0,0
Ratnapura National Museum,135,"38,100","28,327","348,905"
Galle National Museum,174,"51,000","1,059","8,090"
Anuradhapura Folk. Museum,169,"50,400","7,305","94,070"
Dutch Museum,"4,090","2,013,000","5,510","100,280"
Galle Maritime Museum,"2,925","837,000","40,780","419,325"
Independence Memorial Museum,501,"144,000","26,607","205,695"
Hambanthota National Museum,42,"21,000","1,987","26,175"
Total,"59,982","33,636,000","342,554","5,359,775"
