0,1,2,3,4,5,6,7,8,9,10,11,12
,,Occupational Categories - 2005 to 2016,,,,,,,,,,
Occupation,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Businessmen,13.8,15.1,16.3,15.3,12.4,13.5,18.3,14.8,29.5,17.7,15.1,16.2
Professionals,6.7,7.7,7.6,8.0,10.3,13.7,7.6,11.4,17.5,20.7,21.3,23.4
Executives,15.6,14.7,12.7,13.3,13.9,15.5,16.7,16.8,7.4,7.0,10.7,8.8
Scientists &,,,,,,,,,,,,
,6.6,7.4,7.2,7.7,7.7,8.3,8.0,9.9,6.7,8.8,6.4,10.0
Technicians,,,,,,,,,,,,
Educationists,4.6,5.3,5.7,5.9,8.0,10.0,4.8,6.8,9.2,10.0,7.8,8.1
Other Occupation,24.3,23.2,27.4,26.1,26.1,18.9,25.2,19.2,10.2,14.9,18.6,12.4
No Occupation,23.7,21.4,18.0,18.2,17.2,15.1,14.1,13.0,10.1,13.0,14.7,16.5
Retired Persons,4.7,5.2,5.1,5.5,4.4,5.0,5.3,8.1,9.4,7.9,5.4,4.6
