0,1,2,3
,,,due to the  closure  of  establishments  owing
Moneragala,604,544,
,,,to the  challenging  economic  conditions that
Jaffna,540,522,
,,,prevailed in  the  country.
Kurunegala,520,454,
Kegalle,424,365,
,,,A significant  growth in room  numbers in
Vavuniya,77,81,
,,,"Matara  (33.4%),  Galle  (27.7%)  and  Nuwara"
Kilinochchi,85,63,
,,,Eliya (19.2%) for the  year  2022  can  be
Mullaitivu,58,50,
,,,observed  in  comparison  to  2021.  It  could  be
Mannar,26,37,
,,,likely  due  to  the  steps  taken  for  the  inclusion
Total Rooms,"48,120","42,750",
