0,1,2,3,4,5,6,7,8,9,10,11,12
Table A-1,,World Tourist Arrivals by Regions in,,,,,,Table A-2,Regional Distribution of World,,,
,,million (2009 to 2012),,,,,,,Tourism Arrivals (2009 to 2012),,,
Region,2009,2010,2011,2012,,% Change,,,,,,
,,,,,,,,Region,,,Relative Share,
,,,,,10/09,11/10,12/11,,,,,
,,,,,,,,,2009,2010,2011,2012
Africa,46.7,49.9,49.4,52.6,8.8,-1.0,6.4,,,,,
,,,,,,,,Africa,5.3,5.3,5.1,5.1
Americas,140.7,150.4,156.5,163.0,6.4,4.1,4.1,,,,,
,,,,,,,,Americas,16.0,16.0,15.9,15.7
East  Asia &,171.0,193.1,204.7,219.5,13.2,6.0,7.2,,,,,
,,,,,,,,E. Asia & Pacific,19.4,20.6,20.8,21.1
Pacific,,,,,,,,,,,,
,,,,,,,,Europe,52.3,50.5,51.3,51.7
Europe,461.0,486.6,516.9,534.4,3.0,6.2,3.4,,,,,
,,,,,,,,Middle East,5.9,6.4,5.7,5.1
Middle East,52.2,58.2,54.9,52.0,11.6,-5.6,-5.4,,,,,
,,,,,,,,South Asia,1.1,1.2,1.3,1.4
South Asia,10.1,12.0,13.5,14.1,19.1,12.6,4.2,,,,,
,,,,,,,,Total,100,100,100,100
World,882,950.2,995.9,"1,035.6",6.4,4.8,4.0,,,,,
,,,,,,,,,Source -  World Tourism Organization,(UNWTO),,
,Source - World Tourism Organization (UNWTO),,,,,,,,,,,
,,,,,,,,,(Note - Figures for 2012 are provisional estimates),,,
,(Note - Figures for 2012 are provisional estimates),,,,,,,,,,,
