0,1,2,3,4
,,,,
"29.3 per cent, Textiles and Garments 20.6 per",,"Market Regions  (2012, 2013 & 2014)",,
,,,,
"cent. However, Tourism was able to improve its",Market Region,,Percentage Share,
,,,,
contribution by 2.3 percentage points in 2014,,2012,2013,2014
,North America,5.9,5.1,4.8
against the component of 2013.,,,,
,Western Europe,37.1,33.0,31.4
,,,,
C -  Sources  of  Tourism  Demand -,Eastern Europe,7.2,9.9,10.1
,Middle East,5.9,6.3,5.8
,,,,
Markets,Asia - South,24.6,25.6,24.2
,Asia - South East,5.8,6.3,5.8
Although  other  source  markets  have  increased,Asia - North East,7.4,8.1,12.2
,,,,
"their demand, Western Europe remained as the",Australasia,5.7,4.8,4.3
,,0.7,0.9,1.4
major source market in year 2014 as well. These,Others,,,
,World,100.0,100.0,100.0
i m p ro v e m e n t  i n   o t h e r   m a r ke t s  a n d,,,,
,,Source - Sri Lanka Tourism Development Authority,,
