0,1,2,3,4
,Public Sector Revenue from Tourism (In Rs. Million) 2011 - 2014,,,
Source of Revenue,2011,2012,2013,2014
Tourism Development Levy,649.7,809.4,1014.2,"1,005.6"
Tourism Development Authority Income,110.1,130.3,136.4,149.3
Embarkation Tax on Foreign Tourists,"1,041.7","1,161.7",1604.8,"1,779.8"
Cultural Triangle,998.2,"1,330.7","1,727.1","2,178.5"
Botanical Gardens,253.9,279.0,314.9,369.8
Zoological Gardens,470.2,480.7,550.9,745.8
Wild Life Parks,301.0,424.8,578.4,831.6
Museums,14.2,16.8,14.9,15.8
BMICH,178.3,239.2,233.7,400.2
Total,"4,017.3","4,872.6","6,175.3","7,476.4"
