0,1,2,3,4,5
Month,2022,2023,%  change,,
,,,2023/22,,
January,"82,327","102,545",24.5,,
February,"96,507","107,639",11.5,,
March,"106,500","125,495",17.8,,
April,"62,980","105,498",67.5,,
May,"30,207","83,309",175.8,,
June,"32,856","100,388",205.5,,
July,"47,293","143,039",202.4,,
August,"37,760","136,405",261.2,,
September,"29,802","111,938",275.6,,
October,"42,026","109,199",159.8,Tourist  Arrivals,| December  2023
,,,,,
November,"59,759","151,496",153.51,,"210,352"
December,"91,961","210,352",128.7,,
TOTAL,"719,978","1,487,303",106.6,,
