0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, December 2023",,,,,
,,,Tourist Arrivals (December 2023),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,,,,,(December
,Residence,,,,
,,By Air,By Sea,Total,
,,,,,2022)
,India,"43,804",169,"43,973","17,350"
1,,,,,
2,Russian Federation,"29,329",328,"29,657","19,963"
3,United Kingdom,"16,689","2,576","19,265","7,879"
4,Germany,"11,212","2,535","13,747","4,984"
5,Australia,"10,599",248,"10,847","5,158"
6,China,"8,270",04,"8,274",635
7,United States,"6,929","1,115","8,044","3,638"
8,Maldives,"5,968",0,"5,968","3,444"
9,France,"5,473",36,"5,509","2,665"
10,Canada,"3,341",299,"3,640","2,618"
