0,1,2,3,4
,,,,3
Monthly Tourist Arrivals Report August 2025,,,,
,Top primary markets and top potential markets,,,
,"Top primary markets, August 2025",,,
India,,United States,,
"Arrivals: 46,473 / % Share: 23.4",01,"Arrivals: 4,970 / % Share: 2.5",11,
,,Canada,,
,United Kingdom,,,
,,,12,
,02,"Arrivals: 4,333 / % Share: 2.2",,
"Arrivals: 19,764 / % Share: 10.0",,,,
,,Bangladesh,,
Germany,,,,
,03,,13,
,,"Arrivals: 4,074 / % Share: 2.1",,
"Arrivals: 12,500 / % Share: 6.3",,,,
China,,Russia,,
"Arrivals: 12,294 / % Share: 6.2",04,"Arrivals: 3,446 / % Share: 1.7",14,
Italy,,Poland,,
,05,,15,
"Arrivals: 12,247 / % Share: 6.2",,"Arrivals: 3,404 / % Share: 1.7",,
France,,Maldives,,
,06,,,
"Arrivals: 10,495 / % Share: 5.3",,"Arrivals: 3,003 / % Share: 1.5",16,
Spain,,,,
,,Israel,,
,07,,,
"Arrivals: 8,843 / % Share: 4.5",,,,
,,"Arrivals: 2,403 / % Share: 1.2",17,
Australia,,Malaysia,,
,08,,18,
"Arrivals: 7,833 / % Share: 4.0",,"Arrivals: 2,157 / % Share: 1.1",,
Netherlands,,,,
,,Switzerland,,
,09,,,
"Arrivals: 6,082 / % Share: 3.1",,,,
,,,19,
,,"Arrivals: 2,067 / % Share: 1.0",,
Japan,,,,
,,Belgium,,
,10,,,
"Arrivals: 5,127 / % Share: 2.6",,,20,
,,"Arrivals: 2,047 / % Share: 1.0",,
Note: The top primary markets for Sri Lanka have been identified using visitor arrivals. The previous methodology used,,,,
to identify the markets was altered due to the current arrival trends in the source markets and the socio-economic factors,,,,
in Sri Lanka. The intention is to track these source markets on a go-forward basis to understand future performance of,,,,
"Sri Lanka’s tourism economy, including during the projected international tourism recovery period, 2022-2025.",,,,
