0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
United Kingdom,36.4,31.5,22.0,2.0,0.3,1.3,0.0,2.0,0.8,0.0,0.2,0.3,0.8,0.2,0.2,0.4,1.1,0.3,0.0,0.0,0.2,"11,539"
India,43.5,0.3,1.2,0.4,26.7,0.3,0.0,0.0,0.0,14.9,8.5,0.0,0.1,0.2,3.8,0.0,0.0,0.0,0.0,0.1,0.1,"8,678"
Germany,29.9,35.4,19.3,0.9,0.2,1.1,0.0,4.5,3.3,0.1,0.1,0.5,2.8,0.1,0.2,0.3,0.7,0.7,0.0,0.0,0.0,"6,088"
France,30.3,34.9,21.1,1.6,0.3,2.9,0.0,3.2,0.3,0.0,0.2,0.4,2.9,0.2,0.4,0.3,0.3,0.1,0.0,0.0,0.3,"4,035"
Russian Federation,5.8,3.9,9.2,0.1,0.2,8.9,61.5,1.9,0.2,0.0,0.1,0.2,0.2,6.7,0.1,0.1,0.4,0.0,0.3,0.1,0.3,"3,874"
Australia,48.8,1.5,4.1,40.0,0.2,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.2,3.8,0.0,0.0,0.0,0.0,0.1,"3,508"
Canada,27.1,45.6,16.2,1.2,1.3,0.3,0.0,4.5,1.4,0.3,0.9,0.1,0.1,0.1,0.4,0.1,0.2,0.2,0.0,0.0,0.0,"2,083"
United States,25.1,33.5,19.4,6.6,1.7,2.4,0.0,4.4,0.7,0.1,0.9,1.0,0.1,0.4,2.9,0.2,0.2,0.1,0.0,0.1,0.1,"1,872"
Switzerland,17.6,38.6,24.9,1.6,0.1,1.3,0.0,2.7,1.2,0.0,0.8,0.2,4.6,0.0,0.2,0.1,0.0,6.1,0.0,0.0,0.0,"1,647"
Netherlands,27.4,25.5,26.2,1.3,0.3,3.2,0.0,7.7,2.0,0.0,0.3,3.0,0.3,0.1,0.1,0.5,0.3,1.9,0.0,0.0,0.1,"1,575"
