0,1,2,3,4,5,6,7,8,9,10,11
"Country of 
Residence",Total,"Pleasure/ 
Vaca(cid:415) on","Visi(cid:415) ng 
Friends & 
Rela(cid:415) ves",Business,MICE,Health,Sports,Educa(cid:415) on,Religious,Oﬃ  cial,Others
Taiwan,"8,187","7,206",305,375,247,9,33,9,3,0,0
Others,208,106,9,14,68,0,11,0,0,0,0
SOUTH EAST ASIA,"84,013","59,282","7,968","9,371","5,064",84,896,71,838,104,335
Cambodia,771,567,71,9,112,0,10,0,0,2,0
Indonesia,"5,365","3,258",756,453,628,17,234,0,16,0,3
Malaysia,"22,808","16,794","2,547","2,168","1,012",42,214,22,2,0,7
Myanmar,"3,241","2,631",202,112,277,0,19,0,0,0,0
Philippines,"19,303","13,197","3,065","1,290","1,496",23,220,6,0,0,6
Singapore,"19,861","12,671",417,"4,647",854,0,0,40,815,102,315
Thailand,"9,178","7,546",620,462,387,1,159,2,1,0,0
Vietnam,"3,189","2,448",256,210,234,1,33,1,4,0,2
Others,297,170,34,20,64,0,7,0,0,0,2
SOUTH ASIA,"543,160","418,764","43,334","49,157","16,528","5,663","6,008",777,"1,150","1,338",441
Afghanistan,861,226,18,16,564,1,36,0,0,0,0
Bangladesh,"10,487","7,422","1,019",762,940,0,287,5,0,0,52
Bhutan,679,362,126,43,124,0,17,0,0,2,5
India,"424,887","337,557","35,464","37,968","9,557",131,"3,652",456,60,32,10
Iran,"5,720","4,368",749,413,146,0,11,0,0,0,33
Maldives,"76,108","51,394","3,577","8,220","3,273","5,490","1,142",302,"1,068","1,304",338
Nepal,"5,302","3,096",746,256,907,4,281,6,4,0,2
Pakistan,"19,116","14,339","1,635","1,479","1,017",37,582,8,18,0,1
OCEANIA,"125,067","83,336","36,545","2,151","1,966",194,809,32,14,8,12
Australia,"110,928","73,458","32,987","1,875","1,650",175,721,32,14,7,9
New Zealand,"13,825","9,747","3,504",255,217,19,80,0,0,0,3
Others,314,131,54,21,99,0,8,0,0,1,0
Total,"2,333,796","1,907,060","253,066","92,134","39,843","20,798","14,942","1,504","2,078","1,474",897
