0,1,2,3,4,5,6,7,8,9,10,11
"Country of 
Residence",Total,"Pleasure/ 
Vaca(cid:415) on","Visi(cid:415) ng 
Friends & 
Rela(cid:415) ves",Business,MICE,Health,Sports,Educa(cid:415) on,Religious,Oﬃ  cial,Others
AMERICA,"137,624","81,231","48,675","4,159","2,489",259,688,80,31,3,9
NORTH AMERICA,"129,492","74,152","48,234","3,928","2,204",248,614,74,26,3,9
Canada,"52,681","18,727","32,542",747,448,79,123,10,4,1,0
Mexico,"1,503","1,322",52,42,56,2,26,3,0,0,0
United States,"75,308","54,103","15,640","3,139","1,700",167,465,61,22,2,9
"CARIBBEAN & 
CENTRAL AMERICA",910,741,80,33,43,1,11,0,1,0,0
Costa Rica,132,103,10,14,5,0,0,0,0,0,0
Jamaica,102,80,8,1,12,0,1,0,0,0,0
Others,676,558,62,18,26,1,10,0,1,0,0
SOUTH AMERICA,"7,222","6,338",361,198,242,10,63,6,4,0,0
Argen(cid:415) na,"1,809","1,598",81,13,94,0,23,0,0,0,0
Brazil,"2,774","2,470",103,98,70,4,22,3,4,0,0
Chile,"1,002",910,46,15,28,3,0,0,0,0,0
Colombia,702,596,55,18,25,1,7,0,0,0,0
Others,935,764,76,54,25,2,11,3,0,0,0
EUROPE,"1,017,861","873,337","103,399","14,961","8,366","13,290","4,006",426,22,9,45
"NORTHERN 
EUROPE","339,047","270,830","54,659","6,539","4,112",718,"1,883",258,16,0,32
Denmark,"19,223","16,070","2,509",344,112,153,32,3,0,0,0
Finland,"8,888","8,322",357,132,37,22,13,3,0,0,2
Norway,"17,217","11,073","5,517",302,244,39,30,7,3,0,2
Sweden,"28,267","25,070","2,207",496,325,123,33,1,0,0,12
United Kingdom,"254,176","200,129","43,372","5,051","3,260",355,"1,745",238,13,0,13
Others,"11,276","10,166",697,214,134,26,30,6,0,0,3
WESTERN EUROPE,"392,356","339,977","34,299","4,150","2,135","10,787",897,96,2,3,10
Austria,"19,320","17,327",524,118,102,"1,198",35,16,0,0,0
Belgium,"17,519","16,340",665,273,140,79,22,0,0,0,0
France,"106,449","93,937","10,245","1,002",502,241,496,24,1,0,1
Germany,"156,888","134,475","12,539","1,405",806,"7,407",206,44,0,3,3
Netherlands,"57,160","52,290","3,108","1,030",403,250,65,11,0,0,3
Switzerland,"33,965","24,653","7,180",312,182,"1,564",69,1,1,0,3
Others,"1,055",955,38,10,0,48,4,0,0,0,0
"CENTRAL / 
EASTERN EUROPE","176,905","163,817","8,998","1,136",705,"1,342",852,54,0,0,1
Belarus,"4,621","4,273",291,11,27,12,7,0,0,0,0
Czech Republic,"17,600","17,041",301,73,45,105,32,2,0,0,1
Estonia,"2,744","2,673",34,14,8,13,1,1,0,0,0
Hungary,"4,514","4,283",117,60,29,19,4,2,0,0,0
Kazakhstan,"2,721","2,400",251,13,23,29,5,0,0,0,0
Lithuania,"3,386","3,258",68,30,16,13,0,1,0,0,0
