0,1,2,3,4,5,6,7,8,9,10
Country of Residence,Total,GENDER,,,AGE,,,,,
,,Male,Female,,(3-19),(20-29),(30-39),(40-49),(50-59),(60 & above)
Slovakia,"5,289","2,275","3,014",,398,"1,060","1,507","1,078",759,487
Ukraine,"36,515","17,064","19,451",,"3,388","9,506","12,128","6,665","3,566","1,262"
Others,"8,709","3,749","4,960",,735,"2,030","2,836","1,664",876,568
"SOUTHERN /
MEDITERRANEAN EUROPE","109,553","56,549","53,004",,"8,593","23,800","30,002","19,402","15,154","12,602"
Greece,"7,778","6,107","1,671",,207,"1,255","2,258","2,142","1,448",468
Israel,"13,793","7,642","6,151",,"1,926","5,636","1,879","1,750","1,315","1,287"
Italy,"38,379","19,531","18,848",,"2,866","7,013","9,977","6,790","5,985","5,748"
Portugal,"5,933","2,809","3,124",,369,"1,143","1,951","1,061",711,698
Spain,"29,208","13,229","15,979",,"1,970","6,134","9,642","4,770","3,696","2,996"
Turkey,"4,262","2,377","1,885",,285,741,"1,407",862,552,415
Others,"10,200","4,854","5,346",,970,"1,878","2,888","2,027","1,447",990
MIDDLE EAST,"71,636","39,437","32,199",,"18,572","18,705","17,272","8,576","5,585","2,926"
Bahrain,"2,858","1,451","1,407",,756,630,594,351,313,214
Egypt,"3,854","2,358","1,496",,582,"1,240","1,237",482,209,104
Iraq,"1,021",641,380,,91,262,276,157,144,91
Jordan,"3,156","1,778","1,378",,547,776,958,458,231,186
Kuwait,"3,465","1,970","1,495",,609,765,721,487,511,372
Lebanon,"5,521","2,652","2,869",,484,"1,951","1,620",682,451,333
Oman,"6,846","3,809","3,037",,"2,185","1,734","1,475",848,407,197
Qatar,"1,676",982,694,,490,330,327,257,201,71
Saudi Arabia,"34,703","18,772","15,931",,"10,627","9,058","7,996","3,696","2,408",918
United Arab Emirates,"5,785","3,342","2,443",,"1,551","1,181","1,314",830,568,341
Others,"2,751","1,682","1,069",,650,778,754,328,142,99
AFRICA,"14,877","7,454","7,423",,"1,723","2,969","4,011","2,510","1,956","1,708"
NORTH AFRICA,"2,991","1,421","1,570",,378,874,"1,028",399,173,139
Morocco,"1,036",388,648,,62,451,349,92,31,51
Sudan,858,499,359,,181,167,264,157,64,25
Others,"1,097",534,563,,135,256,415,150,78,63
"SUB  - SAHARAN 
AFRICA","11,886","6,033","5,853",,"1,345","2,095","2,983","2,111","1,783","1,569"
Kenya,874,427,447,,58,163,249,173,116,115
Mauri(cid:415) us,720,372,348,,41,91,181,130,109,168
Nigeria,412,315,97,,28,82,145,108,31,18
South  Africa,"7,416","3,760","3,656",,927,"1,355","1,863","1,241","1,099",931
Others,"2,464","1,159","1,305",,291,404,545,459,428,337
ASIA & PACIFIC,"1,091,798","605,272","486,526",,"103,328","173,988","265,066","222,540","166,842","160,034"
NORTH EAST  ASIA,"339,558","146,320","193,238",,"32,267","59,330","78,166","65,039","51,827","52,929"
China,"265,965","109,145","156,820",,"28,346","49,916","63,434","49,769","38,892","35,608"
Japan,"49,450","24,749","24,701",,"2,399","6,067","10,238","10,604","7,686","12,456"
South  Korea,"15,748","8,592","7,156",,965,"2,058","2,764","3,175","3,634","3,152"
Taiwan,"8,187","3,740","4,447",,537,"1,254","1,653","1,462","1,601","1,680"
Others,208,94,114,,20,35,77,29,14,33
SOUTH EAST ASIA,"84,013","41,815","42,198",,"3,892","13,658","22,367","18,084","14,228","11,784"
Cambodia,771,390,381,,9,115,252,107,96,192
Indonesia,"5,365","2,763","2,602",,280,"1,089","1,508","1,315",711,462
