0,1,2,3,4
,,Table 10: Overview of Tour Guide License mechanisms of many countries,,
Country,Availability,International,Notes,Licensing Issuing Mechanism
,of  a  National,Tourism,,
,Licensing,Revenue %,,
,Mechanism,of country,,
,,GDP2,,
Australia,No,1.97%,There is no national system;,"While  there  is  no  national  license,"
,,,requirements  vary  by  state,some states or territories might have
,,,and territory. Voluntary,their own regulations or
,,,certifications are available.,requirements regarding TGs.
Canada,No,1.0%,There's  no single  national,Regulations  regarding  TGs  might
,,,licensing system.,be  handled  at the  provincial  or
