0,1,2,3,4
,,,,"in 2014 to 214,783 in 2015. The highest tourist producers"
,,Percentage Share,,
,,,,namely India and China claimed almost one fourth of the
Market Region,,,,
,2013,2014,2015,
,,,,total tourist traffic to the country during the year reviewed.
North America,5.1,4.8,4.7,
Western Europe,33,31.4,30.7,
,,,,U.K has become the third major source of tourism to the
Eastern Europe,9.9,10.1,8.3,
,,,,country  claiming  9.0  per  cent  share  of  the  total  tourist
Middle East,6.3,5.8,5.6,
,,,,traffic. Australia who ranked in the eight position in 2014
Asia -South,25.6,24.2,25.5,
,,,,moved  up  to  the  seventh  place  in  2015.  USA  and  Japan
Asia -South East,6.3,5.8,4.7,
,,,,remain  in  the  ninth  and  tenth  position  in  year  2015  as
Asia-North East,8.1,12.2,15.2,
,,,,well. The top ten markets accounted almost 66.4 per cent
Australasia,4.8,4.3,4.0,
,,,,of the total tourist traffic to the country in 2015. This is
Others,0.9,1.4,1.3,
World,100,100,100,a  slight  increase  of  1.6  per  cent  when  compared  to  the
,,,,previous year.
Source-Sri Lanka Tourism Development Authority,,,,
