0,1,2,3,4,5,6,7,8,9,10,11,12
,,Seasonality of Tourist Traffic - 2013,,,,,,,,,,
,Arrivals,,Index,,,,,,,,,
"180,000",,,,,,,,,,,,160
,,,,,,,,,,,"153,918",
"160,000",,,,,,,,,,,,
,,,,,,,,,,,,140
"140,000",,,,,,,"123,269",,,,,
,"113,968",,,,,,,,,,,
,,"113,208",,,,,,,,"109,420",,
,,,,,,"107,016",,,"107,058",,,
"120,000","110,543",,,,,,,,,,,120
,,,,,"90,279",,,"90,339",,,,
"100,000",,,,,,,,,,,,
,,,"80,737",,,,,,,,,
,,,,"74,838",,,,,,,,100
"80,000",,,,,,,,,,,,
"60,000",,,,,,,,,,,,80
"40,000",,,,,,,,,,,,
,,,,,,,,,,,,60
"20,000",,,,,,,,,,,,
0,,,,,,,,,,,,40
,JanFeb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
