0,1,2,3,4
,Public Sector Revenue from Tourism (In Rs. Million) 2010 - 2013,,,
Source of Revenue,2010,2011,2012,2013
Tourism Development Levy,516.9,649.7,809.4,1014.2
Tourism Development Authority Income,54.8,110.1,130.3,136.4
Embarkation Tax on Foreign Tourists,"1,000.1","1,041.7","1,161.7",1604.8
Cultural Triangle,743.5,998.2,"1,330.7",1330.7
Botanical Gardens,123.2,253.9,279.0,279.0
Zoological Gardens,410.1,470.2,480.7,480.7
Wild Life Parks,227.2,301.0,424.8,424.8
Museums,9.9,14.2,16.8,16.8
BMICH,133.4,178.3,239.2,239.2
Total,"3,219.1","4,017.3","4,872.6","5,526.6"
